TrkTime (EDT),TrkLatitude,TrkLongitude,TrkAltitude (m),HeadingPlatMagnetic (T),HeadingPlatTrue (T),PlatformSpeed (kts),TrkDist (nm),month,day,year,eventno,legtype,legstage,legno,glarel,glarer,beaufort,cloud,wx,visiblty,effort_edits,rectypeEFFORT,rectype,sightno,angle,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,edits,notes,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,glarev,ph_qual
2023-05-18T08:55:38.7,41.67283833333333,-70.95993166666666,28.8,224.57,239.57,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:55:43.7,41.67283666666667,-70.95993166666666,28.9,224.57,239.57,0.01,0.0001000674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:55:48.7,41.672835,-70.95993333333334,29.2,224.57,239.57,0.01,0.0001249016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:55:53.7,41.67283666666667,-70.95994166666667,29.6,224.57,239.57,0.02,0.0003868934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:55:58.7,41.67283833333333,-70.95994333333333,29.6,224.57,239.57,0.03,0.0001249016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:00.7,41.67283833333333,-70.95994166666667,29.5,224.57,239.57,0.02,0.0000747457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:05.7,41.67283666666667,-70.95994333333333,29.4,224.57,239.57,0.01,0.0001249016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:10.7,41.672835,-70.95994333333333,29.6,224.57,239.57,0.01,0.0001000674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:15.7,41.67283,-70.95994166666667,29.6,224.57,239.57,0.01,0.0003093676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:20.7,41.672821666666664,-70.95993833333333,30.1,224.57,239.57,0.02,0.0005221924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:25.7,41.672815,-70.95993666666666,30.8,224.57,239.57,0.01,0.0004071889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:30.6,41.67281166666667,-70.959935,31.3,224.57,239.57,0.01,0.0002136373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:35.6,41.67281,-70.95993333333334,31.6,224.57,239.57,0.02,0.0001249016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:40.6,41.67281166666667,-70.95993166666666,31.6,224.57,239.57,0.01,0.0001249016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:45.6,41.67281666666667,-70.95993333333334,31.4,224.57,239.57,0.02,0.0003093676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:50.6,41.67282,-70.95993166666666,31.1,224.57,239.57,0.01,0.0002136373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18T08:56:55.6,41.67282,-70.95993166666666,31,224.57,239.57,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
