TrkTime (EST),TrkLatitude,TrkLongitude,TrkAltitude (m),HeadingPlatMagnetic (T),HeadingPlatTrue (T),PlatformSpeed (kts),TrkDist (nm),month,day,year,eventno,legtype,legstage,legno,glarel,glarer,beaufort,cloud,wx,visiblty,effort_edits,rectypeEFFORT,rectype,sightno,angle,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,edits,notes,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,glarev,ph_qual
2024-01-19T07:43:51.2,41.67279,-70.959875,49.9,345,0,0,,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:43:56.2,41.67282,-70.959855,51.1,345,0,0.02,0.002012185,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:01.2,41.67284333,-70.95983333,50.5,24.17,39.17,0.72,0.001704944,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:06.1,41.67286,-70.95983333,45.5,15.73,30.73,1.27,0.001000674,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:11.1,41.67285833,-70.9598,27.4,11.74,26.74,0.97,0.001498259,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:16.1,41.672875,-70.95977167,21.2,17.9,32.9,1.22,0.001617395,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:21.1,41.67290333,-70.95977667,21.7,2.43,17.43,1.15,0.001715862,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:26.1,41.672925,-70.95971833,22,31.35,46.35,2.32,0.002921685,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:31.1,41.67297833,-70.95964167,24.4,36.99,51.99,3.21,0.004698478,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:36.0,41.673085,-70.95968667,36,326.66,341.66,5.5,0.006714767,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:41.0,41.673215,-70.95981,40.5,306.78,321.78,6.59,0.009566387,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:46.0,41.67327333,-70.96005333,45.8,251.95,266.95,6.43,0.011461058,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:51.0,41.673155,-70.96031,43.7,201.99,216.99,8.54,0.013526858,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:44:56.0,41.673,-70.96060333,36.1,203.1,218.1,11.47,0.016114151,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:01.0,41.67277333,-70.96089,32.6,204.24,219.24,13.77,0.018721452,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:06.0,41.67250333,-70.96119833,30.5,202.9,217.9,15.18,0.021307454,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:06.0,41.67250333,-70.96119833,30.5,202.9,217.9,15.18,0,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:11.0,41.67222333,-70.96150833,29,203.71,218.71,15.71,0.021815333,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:16.0,41.67193667,-70.96181833,27.9,203.23,218.23,15.96,0.022125297,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:21.0,41.67164167,-70.96213,27.2,203.68,218.68,16.16,0.02256298,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:26.0,41.67137,-70.962445,26.5,209.06,224.06,14.64,0.021578394,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:31.0,41.67122,-70.96281833,26,232.01,247.01,13.32,0.019011893,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:36.0,41.671105,-70.9632,25.4,232.85,247.85,13.06,0.018457335,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-19T07:45:36.0,41.671105,-70.9632,25.4,232.85,247.85,13.06,0,1,19,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
