TrkTime (EDT),TrkLatitude,TrkLongitude,TrkAltitude (m),HeadingPlatMagnetic (T),HeadingPlatTrue (T),PlatformSpeed (kts),TrkDist (nm),month,day,year,eventno,legtype,legstage,legno,glarel,glarer,beaufort,cloud,wx,visiblty,effort_edits,rectypeEFFORT,rectype,sightno,angle,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,edits,notes,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,glarev,ph_qual
2023-08-02T10:45:23.0,41.67246333333333,-70.961225,24.8,203.76,218.76,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:28.0,41.672275,-70.96142,23.9,204.76,219.76,10.21,0.0142948501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:33.0,41.67208333333333,-70.96162833333334,23.5,204.75,219.75,10.72,0.0148231523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:38.0,41.67187833333333,-70.961845,24.1,201.64,216.64,11.27,0.0156816958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:43.0,41.67167333333333,-70.96206333333333,24.1,202.13,217.13,11.46,0.015728141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:44.9,41.67158833333333,-70.96214833333333,23.9,201.49,216.49,11.45,0.0063700248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:49.9,41.67138333333333,-70.96236833333333,23.1,204.62,219.62,11.14,0.0157748123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:54.9,41.671245,-70.96263166666667,23,225.49,240.49,10.14,0.014438194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:45:59.9,41.67116333333333,-70.96292333333334,23.9,235.04,250.04,10,0.0139696294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:04.9,41.671075,-70.96319833333334,24.1,229.55,244.55,9.63,0.0134253475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:09.9,41.67098166666667,-70.96344166666667,24,227.34,242.34,7.87,0.0122678368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:14.9,41.67095833333333,-70.96355666666666,24.3,250.75,265.75,2.87,0.0053444851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:19.9,41.67096333333333,-70.96358666666667,24.5,250.75,265.75,0,0.0013785462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:24.9,41.67096333333333,-70.96358666666667,24.5,250.75,265.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-02T10:46:29.9,41.67096333333333,-70.96358666666667,24.5,250.75,265.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
