TrkTime (EST),TrkLatitude,TrkLongitude,TrkAltitude (m),HeadingPlatMagnetic (T),HeadingPlatTrue (T),PlatformSpeed (kts),TrkDist (nm),month,day,year,eventno,legtype,legstage,legno,glarel,glarer,beaufort,cloud,wx,visiblty,effort_edits,rectypeEFFORT,rectype,sightno,angle,speccode,number,numcalf,anhead,photos,idrel,confidnc,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,edits,notes,refno,stratum,utc,radalt,gpsspeed,setalt,setvel,lensfl,ggf,int,gpsq,gpssats,roll,pitch,yaw,maghead,glarev,ph_qual
2023-12-09T07:32:37.6,41.67261,-70.95979833333334,304.8,145.66,160.66,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:32:42.6,41.672805,-70.95986,41.8,145.66,160.66,0.16,0.0120300954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:32:47.6,41.672826666666666,-70.959885,39,145.66,160.66,0.08,0.0017173637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:32:52.6,41.672835,-70.9599,37.5,145.66,160.66,0.02,0.0008383782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:32:57.6,41.67283666666667,-70.95991666666667,37.2,145.66,160.66,0.01,0.0007541258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:00.6,41.67283666666667,-70.95992166666667,36.4,145.66,160.66,0.01,0.0002242371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:05.6,41.67283666666667,-70.95992833333334,35.5,145.66,160.66,0.03,0.0002989829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:10.6,41.67284,-70.95993333333334,34.8,145.66,160.66,0.01,0.0003005599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:15.6,41.67284166666666,-70.95993666666666,33.9,145.66,160.66,0.04,0.0001798921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:20.7,41.672845,-70.95993833333333,33.3,145.66,160.66,0,0.0002136373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:25.7,41.672845,-70.95993666666666,33.3,145.66,160.66,0.02,0.0000747457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:30.6,41.672845,-70.95993666666666,33.4,145.66,160.66,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:35.6,41.67284333333333,-70.95993666666666,33.4,145.66,160.66,0.01,0.0001000674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:40.6,41.672845,-70.95993666666666,33.4,145.66,160.66,0.01,0.0001000674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:45.6,41.672845,-70.959935,33.4,145.66,160.66,0.01,0.0000747457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-09T07:33:50.6,41.672845,-70.95993166666666,33.3,145.66,160.66,0.01,0.0001494914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
