"TrkTime..EDT.","TrkLatitude","TrkLongitude","TrkAltitude..m.","HeadingPlatMagnetic..T.","HeadingPlatTrue..T.","PlatformSpeed..kts.","TrkDist..nm.","month","day","year","eventno","legtype","legstage","legno","glarel","glarer","beaufort","cloud","wx","visiblty","effort_edits","rectypeEFFORT","rectype","sightno","angle","speccode","number","numcalf","anhead","photos","idrel","confidnc","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","edits","notes","refno","stratum","utc","radalt","gpsspeed","setalt","setvel","lensfl","ggf","int","gpsq","gpssats","roll","pitch","yaw","maghead","glarev","ph_qual"
"123323",41.67242,-70.96057667,20.4,345,0,0.02,0.000100067,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123325",41.67242,-70.96057667,20.2,345,0,0.02,0,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123327",41.67242,-70.96057667,20.1,345,0,0.01,0,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123329",41.67242167,-70.96057833,19.7,345,0,0.01,0.000124902,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123331",41.67242333,-70.96058,19.3,345,0,0.09,0.000124902,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123333",41.67242833,-70.96057667,18.9,345,0,0.27,0.000335365,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123335",41.67244,-70.96056833,18.8,26.22,41.22,0.95,0.000793937,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123337",41.67245667,-70.960555,18.6,26.02,41.02,1.28,0.001165726,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123339",41.67248,-70.960535,18.6,16.38,31.38,3.39,0.001663481,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123341",41.67251333,-70.96051333,18.6,11.49,26.49,4.1,0.002224769,5,3,2024,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
